sinp                   lambda3  tanbeta  sinbma       widthA        MA            widthH        MH            FracWA    FracWH
0.1                    8        2        0.979795897  7.816651e+01  7.000000e+02  2.484707e+01  2.600000e+02  0.111666  0.0955657
0.1                    8        3        0.99995      7.471999e+01  7.000000e+02  1.092191e-01  2.600000e+02  0.106743  0.000420073
0.1                    8        3        0.9949874    7.483064e+01  7.000000e+02  6.452341e+00  2.600000e+02  0.106901  0.0248167
0.1                    8        3        0.979795897  7.560483e+01  7.000000e+02  3.066865e+01  2.600000e+02  0.108007  0.117956
0.1                    8        4        0.99995      7.675676e+01  7.000000e+02  1.480340e-01  2.600000e+02  0.109653  0.000569362
0.1                    8        4        0.9949874    7.646806e+01  7.000000e+02  7.166145e+00  2.600000e+02  0.10924   0.0275621
0.1                    8        4        0.979795897  7.689109e+01  7.000000e+02  3.617099e+01  2.600000e+02  0.109844  0.139119
0.1                    8        5        0.99995      8.078318e+01  7.000000e+02  1.982797e-01  2.600000e+02  0.115405  0.000762614
0.1                    8        5        0.9949874    7.979535e+01  7.000000e+02  7.875191e+00  2.600000e+02  0.113993  0.0302892
0.1                    8        5        0.979795897  7.958750e+01  7.000000e+02  4.148793e+01  2.600000e+02  0.113696  0.159569
0.1                    8        6        0.99995      8.608960e+01  7.000000e+02  2.595960e-01  2.600000e+02  0.122985  0.000998446
0.1                    8        6        0.9949874    8.416681e+01  7.000000e+02  8.585194e+00  2.600000e+02  0.120238  0.03302
0.1                    8        6        0.979795897  8.299123e+01  7.000000e+02  4.661604e+01  2.600000e+02  0.118559  0.179292
0.1                    8        8        0.99995      1.005169e+02  7.000000e+02  4.147599e-01  2.600000e+02  0.143596  0.00159523
0.1                    8        8        0.9949874    9.494494e+01  7.000000e+02  1.000827e+01  2.600000e+02  0.135636  0.0384933
0.1                    8        8        0.979795897  9.061775e+01  7.000000e+02  5.614001e+01  2.600000e+02  0.129454  0.215923
0.2                    2        1        0.99995      1.207034e+02  7.000000e+02  2.534721e-01  2.600000e+02  0.172433  0.000974893
0.2                    2        1        0.9949874    1.208527e+02  7.000000e+02  1.665004e+01  2.600000e+02  0.172647  0.0640386
0.2                    2        1        0.979795897  1.215079e+02  7.000000e+02  6.100072e+01  2.600000e+02  0.173583  0.234618
0.2                    2        2        0.99995      1.142030e+02  7.000000e+02  1.017830e+00  2.600000e+02  0.163147  0.00391473
0.2                    2        2        0.9949874    1.150494e+02  7.000000e+02  2.071711e+01  2.600000e+02  0.164356  0.0796812
0.2                    2        2        0.979795897  1.167719e+02  7.000000e+02  8.917248e+01  2.600000e+02  0.166817  0.342971
0.2                    2        3        0.99995      1.476268e+02  7.000000e+02  2.707849e+00  2.600000e+02  0.210895  0.0104148
0.2                    2        3        0.9949874    1.468853e+02  7.000000e+02  2.509140e+01  2.600000e+02  0.209836  0.0965054
0.2                    2        3        0.979795897  1.473102e+02  7.000000e+02  1.146406e+02  2.600000e+02  0.210443  0.440925
0.2                    2        4        0.99995      2.026949e+02  7.000000e+02  5.127809e+00  2.600000e+02  0.289564  0.0197223
0.2                    2        4        0.9949874    1.990349e+02  7.000000e+02  3.004562e+01  2.600000e+02  0.284336  0.11556
0.2                    2        4        0.979795897  1.969242e+02  7.000000e+02  1.406921e+02  2.600000e+02  0.28132   0.541123
0.2                    2        5        0.99995      2.750155e+02  7.000000e+02  8.250821e+00  2.600000e+02  0.392879  0.0317339
0.2                    2        5        0.9949874    2.660882e+02  7.000000e+02  3.562443e+01  2.600000e+02  0.380126  0.137017
0.2                    2        5        0.979795897  2.591581e+02  7.000000e+02  1.678519e+02  2.600000e+02  0.370226  0.645584
0.2                    2        6        0.99995      3.638503e+02  7.000000e+02  1.206798e+01  2.600000e+02  0.519786  0.0464153
0.2                    2        6        0.9949874    3.467347e+02  7.000000e+02  4.182271e+01  2.600000e+02  0.495335  0.160857
0.2                    2        6        0.979795897  3.321498e+02  7.000000e+02  1.961510e+02  2.600000e+02  0.4745    0.754427
0.2                    2        8        0.99995      5.900042e+02  7.000000e+02  2.176591e+01  2.600000e+02  0.842863  0.083715
0.2                    2        8        0.9949874    5.454904e+02  7.000000e+02  5.599016e+01  2.600000e+02  0.779272  0.215347
0.2                    2        8        0.979795897  5.050071e+02  7.000000e+02  2.556788e+02  2.600000e+02  0.721439  0.98338
0.2                    3        1        0.99995      1.160064e+02  7.000000e+02  2.281777e-01  2.600000e+02  0.165723  0.000877607
0.2                    3        1        0.9949874    1.161676e+02  7.000000e+02  1.419127e+01  2.600000e+02  0.165954  0.0545818
0.2                    3        1        0.979795897  1.168896e+02  7.000000e+02  5.200114e+01  2.600000e+02  0.166985  0.200004
0.2                    3        2        0.99995      1.065990e+02  7.000000e+02  8.707522e-01  2.600000e+02  0.152284  0.00334905
0.2                    3        2        0.9949874    1.072603e+02  7.000000e+02  1.761416e+01  2.600000e+02  0.153229  0.0677468
0.2                    3        2        0.979795897  1.087690e+02  7.000000e+02  7.571591e+01  2.600000e+02  0.155384  0.291215
0.2                    3        3        0.99995      1.341603e+02  7.000000e+02  2.294064e+00  2.600000e+02  0.191658  0.00882332
0.2                    3        3        0.9949874    1.334343e+02  7.000000e+02  2.128691e+01  2.600000e+02  0.19062   0.0818727
0.2                    3        3        0.979795897  1.338138e+02  7.000000e+02  9.703920e+01  2.600000e+02  0.191163  0.373228
0.2                    3        4        0.99995      1.802750e+02  7.000000e+02  4.331993e+00  2.600000e+02  0.257536  0.0166615
0.2                    3        4        0.9949874    1.768420e+02  7.000000e+02  2.543714e+01  2.600000e+02  0.252631  0.0978352
0.2                    3        4        0.979795897  1.748582e+02  7.000000e+02  1.187445e+02  2.600000e+02  0.249797  0.45671
0.2                    3        5        0.99995      2.410477e+02  7.000000e+02  6.961538e+00  2.600000e+02  0.344354  0.0267751
0.2                    3        5        0.9949874    2.327564e+02  7.000000e+02  3.010016e+01  2.600000e+02  0.332509  0.11577
0.2                    3        5        0.979795897  2.263237e+02  7.000000e+02  1.412622e+02  2.600000e+02  0.32332   0.543316
0.2                    3        6        0.99995      3.157663e+02  7.000000e+02  1.017495e+01  2.600000e+02  0.451095  0.0391344
0.2                    3        6        0.9949874    2.999430e+02  7.000000e+02  3.526939e+01  2.600000e+02  0.42849   0.135652
0.2                    3        6        0.979795897  2.864784e+02  7.000000e+02  1.646055e+02  2.600000e+02  0.409255  0.633098
0.2                    3        8        0.99995      5.060287e+02  7.000000e+02  1.833659e+01  2.600000e+02  0.722898  0.0705253
0.2                    3        8        0.9949874    4.650646e+02  7.000000e+02  4.704375e+01  2.600000e+02  0.664378  0.180938
0.2                    3        8        0.979795897  4.279243e+02  7.000000e+02  2.133080e+02  2.600000e+02  0.61132   0.820415
0.2                    4        1        0.99995      1.119115e+02  7.000000e+02  2.049232e-01  2.600000e+02  0.159874  0.000788166
0.2                    4        1        0.9949874    1.121231e+02  7.000000e+02  1.193048e+01  2.600000e+02  0.160176  0.0458865
0.2                    4        1        0.979795897  1.130871e+02  7.000000e+02  4.372283e+01  2.600000e+02  0.161553  0.168165
0.2                    4        2        0.99995      9.934396e+01  7.000000e+02  7.361453e-01  2.600000e+02  0.14192   0.00283133
0.2                    4        2        0.9949874    9.992190e+01  7.000000e+02  1.476444e+01  2.600000e+02  0.142746  0.0567863
0.2                    4        2        0.979795897  1.016891e+02  7.000000e+02  6.336288e+01  2.600000e+02  0.14527   0.243703
0.2                    4        3        0.99995      1.219818e+02  7.000000e+02  1.915617e+00  2.600000e+02  0.17426   0.00736776
0.2                    4        3        0.9949874    1.212860e+02  7.000000e+02  1.779675e+01  2.600000e+02  0.173266  0.068449
0.2                    4        3        0.979795897  1.216365e+02  7.000000e+02  8.090758e+01  2.600000e+02  0.173766  0.311183
0.2                    4        4        0.99995      1.599118e+02  7.000000e+02  3.604304e+00  2.600000e+02  0.228445  0.0138627
0.2                    4        4        0.9949874    1.567271e+02  7.000000e+02  2.121392e+01  2.600000e+02  0.223896  0.081592
0.2                    4        4        0.979795897  1.548960e+02  7.000000e+02  9.866080e+01  2.600000e+02  0.22128   0.379465
0.2                    4        5        0.99995      2.101291e+02  7.000000e+02  5.782788e+00  2.600000e+02  0.300184  0.0222415
0.2                    4        5        0.9949874    2.025019e+02  7.000000e+02  2.504300e+01  2.600000e+02  0.289288  0.0963192
0.2                    4        5        0.979795897  1.966022e+02  7.000000e+02  1.169682e+02  2.600000e+02  0.28086   0.449878
0.2                    4        6        0.99995      2.719459e+02  7.000000e+02  8.444392e+00  2.600000e+02  0.388494  0.0324784
0.2                    4        6        0.9949874    2.574501e+02  7.000000e+02  2.927624e+01  2.600000e+02  0.367786  0.112601
0.2                    4        6        0.979795897  2.451522e+02  7.000000e+02  1.358281e+02  2.600000e+02  0.350217  0.522416
0.2                    4        8        0.99995      4.294102e+02  7.000000e+02  1.520214e+01  2.600000e+02  0.613443  0.0584698
0.2                    4        8        0.9949874    3.920458e+02  7.000000e+02  3.887802e+01  2.600000e+02  0.560065  0.149531
0.2                    4        8        0.979795897  3.583189e+02  7.000000e+02  1.747782e+02  2.600000e+02  0.511884  0.672224
0.2                    6        1        0.99995      1.058453e+02  7.000000e+02  1.645336e-01  2.600000e+02  0.151208  0.000632822
0.2                    6        1        0.9949874    1.060205e+02  7.000000e+02  8.002839e+00  2.600000e+02  0.151458  0.0307801
0.2                    6        1        0.979795897  1.069671e+02  7.000000e+02  2.933005e+01  2.600000e+02  0.15281   0.112808
0.2                    6        2        0.99995      8.850017e+01  7.000000e+02  5.043439e-01  2.600000e+02  0.126429  0.00193978
0.2                    6        2        0.9949874    8.875566e+01  7.000000e+02  9.824657e+00  2.600000e+02  0.126794  0.0377871
0.2                    6        2        0.979795897  8.975999e+01  7.000000e+02  4.196742e+01  2.600000e+02  0.128229  0.161413
0.2                    6        3        0.99995      1.014892e+02  7.000000e+02  1.264732e+00  2.600000e+02  0.144985  0.00486435
0.2                    6        3        0.9949874    1.008972e+02  7.000000e+02  1.175939e+01  2.600000e+02  0.144139  0.0452284
0.2                    6        3        0.979795897  1.012395e+02  7.000000e+02  5.305378e+01  2.600000e+02  0.144628  0.204053
0.2                    6        4        0.99995      1.253555e+02  7.000000e+02  2.353312e+00  2.600000e+02  0.179079  0.0090512
0.2                    6        4        0.9949874    1.227312e+02  7.000000e+02  1.392333e+01  2.600000e+02  0.17533   0.0535513
0.2                    6        4        0.979795897  1.212828e+02  7.000000e+02  6.408529e+01  2.600000e+02  0.173261  0.246482
0.2                    6        5        0.99995      1.574394e+02  7.000000e+02  3.756888e+00  2.600000e+02  0.224913  0.0144496
0.2                    6        5        0.9949874    1.512247e+02  7.000000e+02  1.632998e+01  2.600000e+02  0.216035  0.0628076
0.2                    6        5        0.979795897  1.464984e+02  7.000000e+02  7.526690e+01  2.600000e+02  0.209283  0.289488
0.2                    6        6        0.99995      1.970963e+02  7.000000e+02  5.470697e+00  2.600000e+02  0.281566  0.0210411
0.2                    6        6        0.9949874    1.853611e+02  7.000000e+02  1.897050e+01  2.600000e+02  0.264802  0.0729635
0.2                    6        6        0.979795897  1.755360e+02  7.000000e+02  8.657781e+01  2.600000e+02  0.250766  0.332992
0.2                    6        8        0.99995      2.982442e+02  7.000000e+02  9.817836e+00  2.600000e+02  0.426063  0.0377609
0.2                    6        8        0.9949874    2.682292e+02  7.000000e+02  2.488865e+01  2.600000e+02  0.383185  0.0957256
0.2                    6        8        0.979795897  2.415407e+02  7.000000e+02  1.092413e+02  2.600000e+02  0.345058  0.420159
0.2                    8        1        0.99995      1.017843e+02  7.000000e+02  1.323034e-01  2.600000e+02  0.145406  0.000508859
0.2                    8        1        0.9949874    1.019497e+02  7.000000e+02  4.867121e+00  2.600000e+02  0.145642  0.0187197
0.2                    8        1        0.979795897  1.028705e+02  7.000000e+02  1.782238e+01  2.600000e+02  0.146958  0.0685476
0.2                    8        2        0.99995      8.083053e+01  7.000000e+02  3.224256e-01  2.600000e+02  0.115472  0.0012401
0.2                    8        2        0.9949874    8.106380e+01  7.000000e+02  5.897759e+00  2.600000e+02  0.115805  0.0226837
0.2                    8        2        0.979795897  8.197323e+01  7.000000e+02  2.498611e+01  2.600000e+02  0.117105  0.0961004
0.2                    8        3        0.99995      8.630962e+01  7.000000e+02  7.551950e-01  2.600000e+02  0.123299  0.0029046
0.2                    8        3        0.9949874    8.587694e+01  7.000000e+02  6.979331e+00  2.600000e+02  0.122681  0.0268436
0.2                    8        3        0.979795897  8.625609e+01  7.000000e+02  3.107921e+01  2.600000e+02  0.123223  0.119535
0.2                    8        4        0.99995      9.902613e+01  7.000000e+02  1.374832e+00  2.600000e+02  0.141466  0.00528782
0.2                    8        4        0.9949874    9.704720e+01  7.000000e+02  8.173831e+00  2.600000e+02  0.138639  0.0314378
0.2                    8        4        0.979795897  9.608471e+01  7.000000e+02  3.696558e+01  2.600000e+02  0.137264  0.142175
