MHs   MDM   MZp   BR(Hs->hh)    Xsec
300   300   5000  3.449826e-01  1.505275063000372e-05
300   400   700   3.422425e-01  0.00010597935266600681
300   400   800   3.426411e-01  0.000327724180007854
300   400   900   3.429511e-01  0.0025092357900321363
300   400   1000  3.431990e-01  0.003991400658789142
300   400   1250  3.436452e-01  0.004476205580023677
300   400   1500  3.439425e-01  0.004040089610010923
300   400   1750  3.441548e-01  0.0032469941800049797
300   400   2000  3.443141e-01  0.0023757984300022254
300   400   2500  3.445369e-01  0.001121096871000495
300   400   3000  3.446855e-01  0.0004889020670001249
300   400   3500  3.447916e-01  0.00020544514920003306
300   400   4000  3.448712e-01  8.640404360001087e-05
300   400   4500  3.449331e-01  3.522417655000445e-05
300   400   5000  3.449826e-01  1.4168309710002097e-05
300   500   900   3.429511e-01  6.17444070018091e-05
300   500   1000  3.431990e-01  0.00017869111000260048
300   500   1250  3.436452e-01  0.002120287402312546
300   500   1500  3.439425e-01  0.0023052284300079376
300   500   1750  3.441548e-01  0.002060094520003956
300   500   2000  3.443141e-01  0.0016714006300018963
300   500   2500  3.445369e-01  0.0008885176760004427
300   500   3000  3.446855e-01  0.0004160314470001076
300   500   3500  3.447916e-01  0.00018329683750002864
300   500   4000  3.448712e-01  7.798234590000857e-05
300   500   4500  3.449331e-01  3.2444935660002964e-05
300   500   5000  3.449826e-01  1.3210233100001323e-05
300   600   1250  3.436452e-01  0.00029810732200200046
300   600   1500  3.439425e-01  0.0011675910412044972
300   600   1750  3.441548e-01  0.0012327232040029365
300   600   2000  3.443141e-01  0.0010997950620015558
300   600   2500  3.445369e-01  0.0006773008590003923
300   600   3000  3.446855e-01  0.0003406750505000983
300   600   3500  3.447916e-01  0.00015855717250002447
300   600   4000  3.448712e-01  6.958065520000693e-05
300   600   4500  3.449331e-01  2.9547758510002207e-05
300   600   5000  3.449826e-01  1.219957940000078e-05
300   700   1250  3.436452e-01  1.83827883002457e-05
300   700   1500  3.439425e-01  0.00028637002022780466
300   700   1750  3.441548e-01  0.000660311029001753
300   700   2000  3.443141e-01  0.0006860561440011504
300   700   2500  3.445369e-01  0.0004902272530003337
300   700   3000  3.446855e-01  0.00027251082390008586
300   700   3500  3.447916e-01  0.00013350030790002237
300   700   4000  3.448712e-01  6.0970011710005904e-05
300   700   4500  3.449331e-01  2.652503237000171e-05
300   700   5000  3.449826e-01  1.1183282310000565e-05
300   800   1500  3.439425e-01  1.4263179000108752e-05
300   800   1750  3.441548e-01  0.00021915145648063205
300   800   2000  3.443141e-01  0.000385553131300734
300   800   2500  3.445369e-01  0.00034114353740027003
300   800   3000  3.446855e-01  0.00020978295710007537
300   800   3500  3.447916e-01  0.00011001432657001949
300   800   4000  3.448712e-01  5.249621772000524e-05
300   800   4500  3.449331e-01  2.352298909000145e-05
300   800   5000  3.449826e-01  1.0097223480000466e-05
300   900   1750  3.441548e-01  1.237450900005558e-05
300   900   2000  3.443141e-01  0.00015378437010031098
300   900   2500  3.445369e-01  0.00022510315340020727
300   900   3000  3.446855e-01  0.00015628516250006458
300   900   3500  3.447916e-01  8.846356906001761e-05
300   900   4000  3.448712e-01  4.419825562000463e-05
300   900   4500  3.449331e-01  2.0424637580001242e-05
300   900   5000  3.449826e-01  9.022341735000352e-06
300   1000  2000  3.443141e-01  1.3341611000037291e-05
300   1000  2500  3.445369e-01  0.00013724152800014038
300   1000  3000  3.446855e-01  0.00011384140810005266
300   1000  3500  3.447916e-01  6.95232590800153e-05
300   1000  4000  3.448712e-01  3.669808342000408e-05
300   1000  4500  3.449331e-01  1.76846389980011e-05
300   1000  5000  3.449826e-01  7.990020406000296e-06
400   300   500   2.954450e-01  8.236884001612134e-05
400   300   600   2.961351e-01  0.0002645673700171358
400   300   700   2.966279e-01  0.002512732290076411
400   300   800   2.969974e-01  0.003847250040081827
400   300   900   2.972848e-01  0.00415033981786756
400   300   1000  2.975146e-01  0.003962295628049031
400   300   1250  2.979283e-01  0.003478748420020073
400   300   1500  2.982041e-01  0.0030409191800083875
400   300   1750  2.984010e-01  0.002356409970003591
400   300   2000  2.985487e-01  0.0016908655500016054
400   300   2500  2.987555e-01  0.0007794684350003525
400   300   3000  2.988933e-01  0.0003401311290000906
400   300   3500  2.989917e-01  0.00014436296850002718
400   300   4000  2.990656e-01  6.079314221001005e-05
400   300   4500  2.991230e-01  2.5171041710004486e-05
400   300   5000  2.991689e-01  1.0248593967002552e-05
400   400   700   2.966279e-01  4.732981559371093e-05
400   400   800   2.969974e-01  0.0001456675910045037
400   400   900   2.972848e-01  0.0011136885760186287
400   400   1000  2.975146e-01  0.0018166653450231753
