mh3   mh4  mh2   mhc   sinp  tanbeta  lap1  lap2  lam3  sinbma  gpxd  mxd  CMS                CMSerr     ATLAS        ATLASerr     CMS/ATLAS
1000  500  1000  1000  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.01218102281      1.804e-05  0.0121954    1.2286e-05   0.998821
1100  100  1100  1100  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.029501662481     4.122e-05  0.029451     4.3679e-05   1.00172
1100  150  1100  1100  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.023998896814     2.63e-05   0.0240036    2.62662e-05  0.999804
1100  200  1100  1100  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.020140703818     2.032e-05  0.0201477    2.75742e-05  0.999653
1100  250  1100  1100  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.017986185181     2.459e-05  0.0179622    2.14766e-05  1.00134
1100  300  1100  1100  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.016316366606     2.445e-05  0.0163206    1.97237e-05  0.999741
1100  350  1100  1100  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0157728993901    1.761e-05  0.0157428    2.1057e-05   1.00191
1100  400  1100  1100  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.01293193566      3.142e-05  0.0129303    1.45136e-05  1.00013
1100  450  1100  1100  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.010682591611     2.188e-05  0.0106705    1.35936e-05  1.00113
1100  500  1100  1100  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.008842196726     1.651e-05  0.00883217   1.07154e-05  1.00114
1200  100  1200  1200  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0130035674525    1.953e-05  0.0129926    1.155e-05    1.00084
1200  150  1200  1200  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0119160271764    2.263e-05  0.0119303    1.10908e-05  0.998804
1200  200  1200  1200  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0111953304763    2.459e-05  0.0111997    9.76202e-06  0.99961
1200  250  1200  1200  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0106545431259    9.101e-06  0.0106741    9.25524e-06  0.998168
1200  300  1200  1200  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0101081538587    2.18e-05   0.0100907    1.18922e-05  1.00173
1200  350  1200  1200  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.00988269906293   1.644e-05  0.00988336   1.06862e-05  0.999933
1200  400  1200  1200  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.008314328218     1.611e-05  0.00830892   9.54987e-06  1.00065
1200  450  1200  1200  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0071449653       1.67e-05   0.00714013   7.69964e-06  1.00068
